,Actor_name,Born,Occupation,spouse,spouse_first,spouse_second,spouse_third,spouse_fourth
533,Nigel Hawthorne,"['(1929-04-05)', '(2001-12-26)']",['Actor'],[],Never married,None,None,None
534,Laurence Fishburne,['(1961-07-30)'],['Actor\nproducer\nplaywright\nscreenwriter\nfilm director'],"['Hajna O. Moss(m.\xa01985; div.\xa01990)', 'Gina Torres(m.\xa02002; separated\xa02017)']",Hajna O. Moss(m. 1985; div. 1990),Gina Torres(m. 2002; separated 2017),None,None
535,Stephen Rea,['(1946-10-31)'],['Actor'],['Dolours Price(m.\xa01983; div.\xa02003)'],Dolours Price(m. 1983; div. 2003),None,None,None
536,Warren Beatty,['(1937-03-30)'],"['Actor, director, producer, screenwriter']",['Annette Bening (m.\xa01992)'],Annette Bening (m. 1992),None,None,None
537,Gérard Depardieu,['(1948-12-27)'],"['Actor, filmmaker, businessman, vineyard owner']",['Élisabeth Guignot (m.\xa01971–1996)'],Élisabeth Guignot (m. 1971–1996),None,None,None
538,Richard Harris,"['(1930-10-01)', '(2002-10-25)']","['Actor, singer']","['Elizabeth Rees-Williams(m.\xa01957; div.\xa01969)', 'Ann Turkel(m.\xa01974; div.\xa01982)']",Elizabeth Rees-Williams(m. 1957; div. 1969),Ann Turkel(m. 1974; div. 1982),None,None
539,Kenneth Branagh,['(1960-12-10)'],['ActorDirectorProducerScreenwriter'],"['Emma Thompson(m.\xa01989; div.\xa01995)', 'Lindsay Brunnock (m.\xa02003)']",Emma Thompson(m. 1989; div. 1995),Lindsay Brunnock (m. 2003),None,None
540,Edward James Olmos,['(1947-02-24)'],['Actordirector'],"['Kaija Keel(m.\xa01971; div.\xa01992)', 'Lorraine Bracco(m.\xa01994; div.\xa02002)', 'Lymari Nadal (m.\xa02002)']",Kaija Keel(m. 1971; div. 1992),Lorraine Bracco(m. 1994; div. 2002),Lymari Nadal (m. 2002),None
541,Max von Sydow,['(1929-04-10)'],['Actor'],"['Christina Olin(m.\xa01951; div.\xa01979)', 'Catherine Brelet (m.\xa01997)']",Christina Olin(m. 1951; div. 1979),Catherine Brelet (m. 1997),None,None
542,Marcello Mastroianni,"['(1924-09-28)', '(1996-12-19)']",['Actor'],['Flora Carabella(m.\xa01950; his death\xa01996)'],Flora Carabella(m. 1950; his death 1996),None,None,None
543,Bob Hoskins,"['(1942-10-26)', '(2014-04-29)']",['Actor'],"['Jane Livesey(m.\xa01967; div.\xa01978)', 'Linda Banwell(m.\xa01982; his death\xa02014)']",Jane Livesey(m. 1967; div. 1978),Linda Banwell(m. 1982; his death 2014),None,None
544,James Woods,['(1947-04-18)'],"['Actor, producer']","['Kathryn Morrison(m.\xa01980; div.\xa01983)', 'Sarah Owen(m.\xa01989; div.\xa01990)']",Kathryn Morrison(m. 1980; div. 1983),Sarah Owen(m. 1989; div. 1990),None,None
545,James Garner,"['(1928-04-07)', '(2014-07-19)']","['Actor, producer, voice artist']",['Lois Josephine Fleischman Clarke (m.\xa01956)'],Lois Josephine Fleischman Clarke (m. 1956),None,None,None
546,Sam Waterston,['(1940-11-15)'],"['Actor, television producer, television director']","['Barbara Rutledge(m.\xa01964; div.\xa01975)', 'Lynn Louisa Woodruff (m.\xa01976)']",Barbara Rutledge(m. 1964; div. 1975),Lynn Louisa Woodruff (m. 1976),None,None
547,Tom Hulce,['(1953-12-06)'],"['Actor, singer, producer']",[],Never married,None,None,None
548,Albert Finney,['(1936-05-09)'],['Actor'],"['Jane Wenham(m.\xa01957; div.\xa01961)', 'Anouk Aimée(m.\xa01970; div.\xa01978)', 'Pene Delmage  (m.\xa02006)']",Jane Wenham(m. 1957; div. 1961),Anouk Aimée(m. 1970; div. 1978),Pene Delmage  (m. 2006),None
549,Tom Conti,['(1941-11-22)'],"['Actor, theatre director, novelist']",['Kara Wilson (m.\xa01967)'],Kara Wilson (m. 1967),None,None,None
550,Tom Courtenay,['(1937-02-25)'],['Actor'],"['Cheryl Kennedy(m.\xa01973; div.\xa01982)', 'Isabel Crossley (m.\xa01988)']",Cheryl Kennedy(m. 1973; div. 1982),Isabel Crossley (m. 1988),None,None
551,Dudley Moore,"['(1935-04-19)', '(2002-03-27)']","['Actor, comedian, musician']","['Suzy Kendall(m.\xa01968; div.\xa01972)', 'Tuesday Weld(m.\xa01975; div.\xa01980)', 'Brogan Lane(m.\xa01988; div.\xa01991)', 'Nicole Rothschild(m.\xa01994; div.\xa01998)']",Suzy Kendall(m. 1968; div. 1972),Tuesday Weld(m. 1975; div. 1980),Brogan Lane(m. 1988; div. 1991),Nicole Rothschild(m. 1994; div. 1998)
552,John Hurt,"['(1940-01-22)', '(2017-01-25)']",['Actor'],"['Annette Robertson(m.\xa01962; div.\xa01964)', 'Donna Peacock(m.\xa01984; div.\xa01990)', 'Joan Dalton(m.\xa01990; div.\xa01996)', 'Anwen Rees-Myers (m.\xa02005)']",Annette Robertson(m. 1962; div. 1964),Donna Peacock(m. 1984; div. 1990),Joan Dalton(m. 1990; div. 1996),Anwen Rees-Myers (m. 2005)
553,Kat Dennings,['(1986-06-13)'],['Actress'],[],Never married,None,None,None
554,Priyanka Chopra,['(1982-07-18)'],['Actress\nsinger\nfilm producer\nphilanthropist\nmodel'],['Nick Jonas (m.\xa02018)'],Nick Jonas (m. 2018),None,None,None
555,Emmanuelle Riva,"['(1927-02-24)', '(2017-01-27)']","['Actress, poet, photographer, artist, chanteuse']",[],Never married,None,None,None
556,Greta Gerwig,['(1983-08-04)'],['Actressplaywrightdirectorscreenwriter'],[],Never married,None,None,None
557,Brie Larson,['(1989-10-01)'],['Actress\nfilmmaker'],[],Never married,None,None,None
558,Jessica Lucas,['(1985-09-24)'],"['Actress, singer']",[],Never married,None,None,None
559,Liv Ullmann,['(1938-12-16)'],"['Actress, director, screenwriter']","['Hans Jacob ""Jappe"" Stang (m.\xa01960–1965)', 'Donald Leslie Saunders (m.\xa01985)']","Hans Jacob ""Jappe"" Stang (m. 1960–1965)",Donald Leslie Saunders (m. 1985),None,None
560,Setsuko Hara,"['(1920-06-17)', '(2015-09-05)']",['Actress'],[],Never married,None,None,None
561,Rosalind Russell,"['(1907-06-04)', '(1976-11-28)']","['Actress, singer, comedian, screenwriter']",[],Never married,None,None,None
562,Linda Fiorentino,['(1960-03-09)'],"['Actress, photographer']",[],Never married,None,None,None
563,Gabourey Sidibe,['(1983-05-06)'],['Actress'],[],Never married,None,None,None
564,Catherine Deneuve,['(1943-10-22)'],"['Actress, model, singer, film producer']",['David Bailey(m.\xa01965; div.\xa01972)'],David Bailey(m. 1965; div. 1972),None,None,None
565,Mia Farrow,['(1945-02-09)'],"['Actress, activist, model']","['Frank Sinatra(m.\xa01966; div.\xa01968)', 'André Previn(m.\xa01970; div.\xa01979)']",Frank Sinatra(m. 1966; div. 1968),André Previn(m. 1970; div. 1979),None,None
566,Audrey Tautou,['(1976-08-09)'],"['Actress, model']",[],Never married,None,None,None
567,Jeanne Moreau,"['(1928-01-23)', '(2017-07-31)']","['Actress, screenwriter, film director']",[],Never married,None,None,None
568,Isabelle Huppert,['(1953-03-16)'],['Actress'],[],Never married,None,None,None
569,Gena Rowlands,['(1930-06-19)'],['Actress'],"['John Cassavetes(m.\xa01954; died\xa01989)', 'Robert Forrest  (m.\xa02012)']",John Cassavetes(m. 1954; died 1989),Robert Forrest  (m. 2012),None,None
570,Lesley Manville,['(1956-03-12)'],['Actress'],"['Gary Oldman(m.\xa01987; div.\xa01990)', 'Joe Dixon(m.\xa02000; div.\xa02004)']",Gary Oldman(m. 1987; div. 1990),Joe Dixon(m. 2000; div. 2004),None,None
571,Elizabeth Olsen,['(1989-02-16)'],['Actress'],[],Never married,None,None,None
572,Nastassja Kinski,['(1961-01-24)'],"['Actress, model']",['Ibrahim Moussa (m.\xa01984–1992)'],Ibrahim Moussa (m. 1984–1992),None,None,None
573,Mélanie Laurent,['(1983-02-21)'],['Actress\nsinger\nwriter\ndirector'],[],Never married,None,None,None
574,Whitney Houston,"['(1963-08-09)', '(2012-02-11)']",['Singeractressfilm producermodel'],['Bobby Brown(m.\xa01992; div.\xa02007)'],Bobby Brown(m. 1992; div. 2007),None,None,None
575,Felicity Huffman,['(1962-12-09)'],['Actress'],['William H. Macy (m.\xa01997)'],William H. Macy (m. 1997),None,None,None
576,Imelda Staunton,['(1956-01-09)'],['Actress'],['Jim Carter (m.\xa01983)'],Jim Carter (m. 1983),None,None,None
577,Oscar Isaac,['(1979-03-09)'],['Actor\nmusician'],['Elvira Lind (m.\xa02017)'],Elvira Lind (m. 2017),None,None,None
578,Jon Heder,['(1977-10-26)'],"['Actor, producer']",['Kirsten Bales (m.\xa02002)'],Kirsten Bales (m. 2002),None,None,None
579,Miles Teller,['(1987-02-20)'],['Actor'],[],Never married,None,None,None
580,Daniel Brühl,['(1978-06-16)'],['Actor'],[],Never married,None,None,None
581,James Gandolfini,"['(1961-09-18)', '(2013-06-19)']","['Actor, producer']","['Marcy Wudarski(m.\xa01999; div.\xa02002)', 'Deborah Lin (m.\xa02008–2013)']",Marcy Wudarski(m. 1999; div. 2002),Deborah Lin (m. 2008–2013),None,None
582,Michael B. Jordan,['(1987-02-09)'],['Actor'],[],Never married,None,None,None
583,Anthony Perkins,"['(1932-04-04)', '(1992-09-12)']",['Actor\nsinger'],['Berry Berenson (m.\xa01973)'],Berry Berenson (m. 1973),None,None,None
584,David Thewlis,['(1963-03-20)'],['Actor\ndirector\nscreenwriter\nauthor'],['Sara Sugarman(m.\xa01992; div.\xa01994)'],Sara Sugarman(m. 1992; div. 1994),None,None,None
585,Klaus Kinski,"['(1926-10-18)', '(1991-11-23)']",['Actor'],[],Never married,None,None,None
586,Malcolm McDowell,['(1943-06-13)'],['Actor'],"['Margot Bennett(m.\xa01975; div.\xa01980)', 'Mary Steenburgen(m.\xa01980; div.\xa01990)', 'Kelley Kuhr (m.\xa01991)']",Margot Bennett(m. 1975; div. 1980),Mary Steenburgen(m. 1980; div. 1990),Kelley Kuhr (m. 1991),None
587,Ray Winstone,['(1957-02-19)'],['Actor'],['Elaine McCausland (m.\xa01979)'],Elaine McCausland (m. 1979),None,None,None
