,Actor_name,Born,Occupation,spouse,spouse_first,spouse_second,spouse_third,spouse_fourth
740,Paul Scofield,"['(1922-01-21)', '(2008-03-19)']",['Actor'],[],Never married,None,None,None
741,Pete Postlethwaite,"['(1946-02-07)', '(2011-01-02)']",['Actor'],['Jacqueline Morrish(m.\xa02003; his death\xa02011)'],Jacqueline Morrish(m. 2003; his death 2011),None,None,None
742,Mads Mikkelsen,['(1965-11-22)'],['Actor'],['Hanne Jacobsen (m.\xa02000)'],Hanne Jacobsen (m. 2000),None,None,None
743,Jada Pinkett Smith,['(1971-09-18)'],"['Actress, Singer-Songwriter, Businesswoman']",['Will Smith (m.\xa01997)'],Will Smith (m. 1997),None,None,None
744,Tatum O'Neal,['(1963-11-05)'],"['Actress, author']",['John McEnroe(m.\xa01986; div.\xa01994)'],John McEnroe(m. 1986; div. 1994),None,None,None
745,Anna Faris,['(1976-11-29)'],"['Actress, producer, comedian, author, podcaster']","['Ben Indra(m.\xa02004; div.\xa02008)', 'Chris Pratt(m.\xa02009; div.\xa02018)']",Ben Indra(m. 2004; div. 2008),Chris Pratt(m. 2009; div. 2018),None,None
746,Ashley Greene,['(1987-02-21)'],['Actress'],[],Never married,None,None,None
747,Famke Janssen,[],"['Actress, director']",['Kip Williams (m.\xa01995–2000)'],Kip Williams (m. 1995–2000),None,None,None
748,Rosamund Pike,['(1979-01-27)'],['Actress'],[],Never married,None,None,None
749,Leslie Mann,['(1972-03-26)'],['Actresscomedian'],['Judd Apatow (m.\xa01997)'],Judd Apatow (m. 1997),None,None,None
750,Mindy Kaling,['(1979-06-24)'],"['Actress, comedian, writer']",[],Never married,None,None,None
751,Analeigh Tipton,['(1988-11-09)'],"['Actress, model']",[],Never married,None,None,None
752,Thandie Newton,['(1972-11-06)'],['Actress'],['Ol Parker (m.\xa01998)'],Ol Parker (m. 1998),None,None,None
753,Amanda Peet,['(1972-01-11)'],['Actress'],['David Benioff (m.\xa02006)'],David Benioff (m. 2006),None,None,None
754,Julia Stiles,['(1981-03-28)'],['Actress'],['Preston J. Cook (m.\xa02017)'],Preston J. Cook (m. 2017),None,None,None
755,Maria Bello,[],['Actressproducerwriter'],[],Never married,None,None,None
756,Eva Mendes,['(1974-03-05)'],"['Actress, model, businesswoman']",[],Never married,None,None,None
757,Emily Blunt,['(1983-02-23)'],['Actress'],['John Krasinski (m.\xa02010)'],John Krasinski (m. 2010),None,None,None
758,Rose Byrne,['(1979-07-24)'],['Actress'],[],Never married,None,None,None
759,Ashley Judd,['(1968-04-19)'],['Actress\nactivist'],['Dario Franchitti(m.\xa02001; div.\xa02013)'],Dario Franchitti(m. 2001; div. 2013),None,None,None
760,Emilia Clarke,['(1986-10-23)'],['Actress'],[],Never married,None,None,None
761,Christina Applegate,['(1971-11-25)'],['Actress'],"['Johnathon Schaech(m.\xa02001; div.\xa02007)', 'Martyn LeNoble (m.\xa02013)']",Johnathon Schaech(m. 2001; div. 2007),Martyn LeNoble (m. 2013),None,None
762,Nia Long,['(1970-10-30)'],['Actress'],[],Never married,None,None,None
763,Felicity Jones,['(1983-10-17)'],['Actress'],['Charles Guard (m.\xa02018)'],Charles Guard (m. 2018),None,None,None
764,Téa Leoni,['(1966-02-25)'],['Actress'],"['Neil Joseph Tardio Jr.(m.\xa01991; div.\xa01995)', 'David Duchovny(m.\xa01997; div.\xa02014)']",Neil Joseph Tardio Jr.(m. 1991; div. 1995),David Duchovny(m. 1997; div. 2014),None,None
765,Alexandra Daddario,['(1986-03-16)'],['Actress'],[],Never married,None,None,None
766,Jena Malone,['(1984-11-21)'],['Actress\nmusician\nphotographer'],[],Never married,None,None,None
767,Richard Gere,['(1949-08-31)'],['Actor'],"['Cindy Crawford(m.\xa01991; div.\xa01995)', 'Carey Lowell(m.\xa02002; div.\xa02016)', 'Alejandra Silva (m.\xa02018)']",Cindy Crawford(m. 1991; div. 1995),Carey Lowell(m. 2002; div. 2016),Alejandra Silva (m. 2018),None
768,Nick Frost,['(1972-03-28)'],['ActorComedianScreenwriterProducerAuthor'],['Christina Frost(m.\xa02008; div.\xa02015)'],Christina Frost(m. 2008; div. 2015),None,None,None
769,Ray Liotta,['(1954-12-18)'],"['Actor, film producer, voice actor']",['Michelle Grace(m.\xa01997; div.\xa02004)'],Michelle Grace(m. 1997; div. 2004),None,None,None
770,Jon Hamm,['(1971-03-10)'],['Actor\nproducer'],[],Never married,None,None,None
771,Neil Patrick Harris,['(1973-06-15)'],['Actor\nwriter\nproducer\ncomedian\nmagician\nsinger'],['David Burtka (m.\xa02014)'],David Burtka (m. 2014),None,None,None
772,Charlie Sheen,['(1965-09-03)'],['Actor'],"['Donna Peele(m.\xa01995; div.\xa01996)', 'Denise Richards(m.\xa02002; div.\xa02006)', 'Brooke Mueller(m.\xa02008; div.\xa02011)']",Donna Peele(m. 1995; div. 1996),Denise Richards(m. 2002; div. 2006),Brooke Mueller(m. 2008; div. 2011),None
773,Mark Rylance,['(1960-01-18)'],"['Actor, theatre director, playwright']",['Claire van Kampen (m.\xa01989)'],Claire van Kampen (m. 1989),None,None,None
774,Andy Garcia,['(1956-04-12)'],['Actor'],['Marivi Lorido García (m.\xa01982)'],Marivi Lorido García (m. 1982),None,None,None
775,Bruce Davison,['(1946-06-28)'],"['Actor, director']",[],Never married,None,None,None
776,Danny Aiello,['(1933-06-20)'],['Actor'],[],Never married,None,None,None
777,River Phoenix,"['(1970-08-23)', '(1993-10-31)']",['Actor\nmusician\nactivist'],[],Never married,None,None,None
778,Dean Stockwell,['(1936-03-05)'],['Actor'],"['Millie Perkins(m.\xa01960; div.\xa01962)', 'Joy Marchenko (m.\xa01981)']",Millie Perkins(m. 1960; div. 1962),Joy Marchenko (m. 1981),None,None
779,Billy Crystal,['(1948-03-14)'],"['Actor, writer, producer, director, comedian, television host']",['Janice Goldfinger (m.\xa01970)'],Janice Goldfinger (m. 1970),None,None,None
780,John Goodman,['(1952-06-20)'],['Actor'],['Annabeth Hartzog (m.\xa01989)'],Annabeth Hartzog (m. 1989),None,None,None
781,Orlando Bloom,['(1977-01-13)'],['Actorfilm producerambassador'],['Miranda Kerr(m.\xa02010; div.\xa02013)'],Miranda Kerr(m. 2010; div. 2013),None,None,None
782,Stellan Skarsgård,['(1951-06-13)'],['Actor'],"['My Skarsgård(m.\xa01975; div.\xa02007)', 'Megan Everett (m.\xa02009)']",My Skarsgård(m. 1975; div. 2007),Megan Everett (m. 2009),None,None
783,Alexander Skarsgård,['(1976-08-25)'],['Actor'],[],Never married,None,None,None
784,Mike Myers,['(1963-05-25)'],['Actor\ncomedian\nwriter\nfilm producer\ndirector'],"['Robin Ruzan(m.\xa01993; div.\xa02007)', 'Kelly Tisdale (m.\xa02010)']",Robin Ruzan(m. 1993; div. 2007),Kelly Tisdale (m. 2010),None,None
785,Elijah Wood,['(1981-01-28)'],"['Actor, film producer, DJ']",[],Never married,None,None,None
786,Danny DeVito,['(1944-11-17)'],"['Actor, filmmaker']",['Rhea Perlman (m.\xa01982)'],Rhea Perlman (m. 1982),None,None,None
787,Lucy Liu,['(1968-12-02)'],"['Actress, voice actress, director, artist']",[],Never married,None,None,None
788,Rebecca Romijn,['(1972-11-06)'],"['Actress, model']","['John Stamos(m.\xa01998; div.\xa02005)', ""Jerry O'Connell (m.\xa02007)""]",John Stamos(m. 1998; div. 2005),Jerry O'Connell (m. 2007),None,None
789,Michelle Rodriguez,['(1978-07-12)'],['Actress'],[],Never married,None,None,None
790,Sarah Michelle Gellar,['(1977-04-14)'],['Actressproducerentrepreneur'],['Freddie Prinze Jr. (m.\xa02002)'],Freddie Prinze Jr. (m. 2002),None,None,None
791,Beyoncé,['(1981-09-04)'],['Singer\nsongwriter\nactress\nrecord producer\ndancer'],['Jay-Z (m.\xa02008)'],Jay-Z (m. 2008),None,None,None
792,Rebecca Hall,['(1982-05-03)'],['Actress'],['Morgan Spector (m.\xa02015)'],Morgan Spector (m. 2015),None,None,None
793,Piper Perabo,['(1976-10-31)'],['Actress'],['Stephen Kay (m.\xa02014)'],Stephen Kay (m. 2014),None,None,None
794,Courteney Cox,['(1964-06-15)'],"['Actress, film producer, film director']",['David Arquette(m.\xa01999; div.\xa02013)'],David Arquette(m. 1999; div. 2013),None,None,None
795,Parker Posey,['(1968-11-08)'],['Actress\nmusician'],[],Never married,None,None,None
796,Paula Patton,['(1975-12-05)'],['Actress'],['Robin Thicke(m.\xa02005; div.\xa02015)'],Robin Thicke(m. 2005; div. 2015),None,None,None
797,Michelle Monaghan,['(1976-03-23)'],['Actress'],['Peter White (m.\xa02005)'],Peter White (m. 2005),None,None,None
798,Claire Danes,['(1979-04-12)'],['Actress'],['Hugh Dancy (m.\xa02009)'],Hugh Dancy (m. 2009),None,None,None
799,Ali Larter,['(1976-02-28)'],['Actress\nmodel'],['Hayes MacArthur (m.\xa02009)'],Hayes MacArthur (m. 2009),None,None,None
800,Kate Bosworth,['(1983-01-02)'],"['Actress, model']",['Michael Polish (m.\xa02013)'],Michael Polish (m. 2013),None,None,None
801,Evan Rachel Wood,['(1987-09-07)'],['Actress\nmodel\nmusician'],['Jamie Bell(m.\xa02012; div.\xa02014)'],Jamie Bell(m. 2012; div. 2014),None,None,None
802,Mira Sorvino,['(1967-09-28)'],['Actress'],['Christopher Backus (m.\xa02004)'],Christopher Backus (m. 2004),None,None,None
803,Ziyi Zhang,['(1979-02-09)'],['Actress\nModel'],['Wang Feng (m.\xa02015)'],Wang Feng (m. 2015),None,None,None
804,Amanda Crew,['(1986-06-05)'],['Actress'],[],Never married,None,None,None
805,Amanda Bynes,['(1986-04-03)'],['Actress'],[],Never married,None,None,None
806,Lisa Kudrow,['(1963-07-30)'],['Actress\xa0• voice actress\xa0• writer\xa0• comedian\xa0• producer'],['Michel Stern (m.\xa01995)'],Michel Stern (m. 1995),None,None,None
807,Neve Campbell,['(1973-10-03)'],['Actress'],"['Jeff Colt(m.\xa01995; div.\xa01998)', 'John Light(m.\xa02007; div.\xa02011)']",Jeff Colt(m. 1995; div. 1998),John Light(m. 2007; div. 2011),None,None
808,Sofía Vergara,['(1972-07-10)'],['Actress\nmodel\ntelevision host\nproducer'],"['Joe Gonzalez(m.\xa01991; div.\xa01993)', 'Joe Manganiello (m.\xa02015)']",Joe Gonzalez(m. 1991; div. 1993),Joe Manganiello (m. 2015),None,None
809,Mandy Moore,['(1984-04-10)'],['Singer-songwriter\nactress'],"['Ryan Adams(m.\xa02009; div.\xa02016)', 'Taylor Goldsmith (m.\xa02018)']",Ryan Adams(m. 2009; div. 2016),Taylor Goldsmith (m. 2018),None,None
810,Virginia Madsen,['(1961-09-11)'],['Actress\nproducer'],['Danny Huston(m.\xa01989; div.\xa01992)'],Danny Huston(m. 1989; div. 1992),None,None,None
811,James Marsden,['(1973-09-18)'],['Actor\nsinger\nmodel'],['Lisa Linde(m.\xa02000; div.\xa02011)'],Lisa Linde(m. 2000; div. 2011),None,None,None
812,Giovanni Ribisi,['(1974-12-17)'],['Actor'],"[""Mariah O'Brien(m.\xa01997; div.\xa02001)"", 'Agyness Deyn(m.\xa02012; div.\xa02015)']",Mariah O'Brien(m. 1997; div. 2001),Agyness Deyn(m. 2012; div. 2015),None,None
813,Rutger Hauer,['(1944-01-23)'],"['Actor, writer, environmentalist']",['Ineke ten Cate (m.\xa01985)'],Ineke ten Cate (m. 1985),None,None,None
814,Vince Vaughn,['(1970-03-28)'],"['Actor, producer, screenwriter, comedian']",['Kyla Weber (m.\xa02010)'],Kyla Weber (m. 2010),None,None,None
815,Dennis Quaid,['(1954-04-09)'],['Actor\nproducer\ndirector\nsinger\nwriter'],"['P. J. Soles(m.\xa01978; div.\xa01983)', 'Meg Ryan(m.\xa01991; div.\xa02001)', 'Kimberly Buffington(m.\xa02004; div.\xa02018)']",P. J. Soles(m. 1978; div. 1983),Meg Ryan(m. 1991; div. 2001),Kimberly Buffington(m. 2004; div. 2018),None
816,John Leguizamo,['(1964-07-22)'],"['Actor, stand-up comedian, film producer, playwright, screenwriter']","['Yelba Osorio(m.\xa01994; div.\xa01996)', 'Justine Maurer (m.\xa02003)']",Yelba Osorio(m. 1994; div. 1996),Justine Maurer (m. 2003),None,None
817,Michael Keaton,['(1951-09-05)'],"['Actor, producer, director']",['Caroline McWilliams(m.\xa01982; div.\xa01990)'],Caroline McWilliams(m. 1982; div. 1990),None,None,None
818,Brendan Gleeson,['(1955-03-29)'],['Actor\nfilm director'],['Mary Weldon (m.\xa01982)'],Mary Weldon (m. 1982),None,None,None
819,Clark Gregg,['(1962-04-02)'],"['Actor, director, screenwriter, voice actor']",['Jennifer Grey (m.\xa02001)'],Jennifer Grey (m. 2001),None,None,None
820,Jonathan Pryce,['(1947-06-01)'],"['Actor, singer']",['Kate Fahy (m.\xa02015)'],Kate Fahy (m. 2015),None,None,None
821,Tobey Maguire,['(1975-06-27)'],"['Actor, producer']",['Jennifer Meyer(m.\xa02007; div.\xa02017)'],Jennifer Meyer(m. 2007; div. 2017),None,None,None
822,Michael Sheen,['(1969-02-05)'],['Actor'],[],Never married,None,None,None
823,Justin Long,['(1978-06-02)'],"['Actor, comedian, humorist']",[],Never married,None,None,None
824,Kellan Lutz,['(1985-03-15)'],['Actor\nmodel'],['Brittany Gonzales (m.\xa02017)'],Brittany Gonzales (m. 2017),None,None,None
825,Jack Black,['(1969-08-28)'],['Actor\nvoice actor\ncomedian\nmusician\nsongwriter'],['Tanya Haden (m.\xa02006)'],Tanya Haden (m. 2006),None,None,None
826,Pierce Brosnan,['(1953-05-16)'],"['Actor, singer, producer, environmentalist']","['Cassandra Harris(m.\xa01980; died\xa01991)', 'Keely Shaye Smith (m.\xa02001)']",Cassandra Harris(m. 1980; died 1991),Keely Shaye Smith (m. 2001),None,None
827,Sean Bean,['(1959-04-17)'],['Actor'],"['Debra James(m.\xa01981; div.\xa01988)', 'Melanie Hill(m.\xa01990; div.\xa01997)', 'Abigail Cruttenden(m.\xa01997; div.\xa02000)', 'Georgina Sutcliffe(m.\xa02008; div.\xa02011)', 'Ashley Moore (m.\xa02017)']",Debra James(m. 1981; div. 1988),Melanie Hill(m. 1990; div. 1997),Abigail Cruttenden(m. 1997; div. 2000),Georgina Sutcliffe(m. 2008; div. 2011)
828,Mahershala Ali,['(1974-02-16)'],['Actor'],['Amatus-Sami Karim (m.\xa02013)'],Amatus-Sami Karim (m. 2013),None,None,None
829,Josh Duhamel,['(1972-11-14)'],"['Actor, model']",['Fergie(m.\xa02009; div.\xa02017)'],Fergie(m. 2009; div. 2017),None,None,None
830,Jon Favreau,['(1966-10-19)'],['Actor\ndirector\nproducer\nscreenwriter'],['Joya Tillem (m.\xa02000)'],Joya Tillem (m. 2000),None,None,None
831,Danny Glover,['(1946-07-22)'],"['Actor, director, activist']","['Asake Bomani(m.\xa01975; div.\xa02000)', 'Eliane Cavalleiro (m.\xa02009)']",Asake Bomani(m. 1975; div. 2000),Eliane Cavalleiro (m. 2009),None,None
832,Freida Pinto,['(1984-10-18)'],"['Actress, model']",[],Never married,None,None,None
833,Hilary Duff,['(1987-09-28)'],['Actress\nsinger-songwriter\ndesigner\nauthor\nentrepreneur\nproducer'],['Mike Comrie(m.\xa02010; div.\xa02016)'],Mike Comrie(m. 2010; div. 2016),None,None,None
834,Mary Elizabeth Winstead,['(1984-11-28)'],['Actress\nsinger'],['Riley Stearns(m.\xa02010; div.\xa02017)'],Riley Stearns(m. 2010; div. 2017),None,None,None
835,Jennifer Coolidge,['(1961-08-28)'],['Actress\nComedian\nActivist'],[],Never married,None,None,None
836,Andrea Riseborough,['(1981-11-20)'],['Actress'],[],Never married,None,None,None
837,Molly Ringwald,['(1968-02-18)'],"['Actress, singer, dancer, writer']","['Valery Lameignère(m.\xa01999; div.\xa02002)', 'Panio Gianopoulos (m.\xa02007)']",Valery Lameignère(m. 1999; div. 2002),Panio Gianopoulos (m. 2007),None,None
838,January Jones,['(1978-01-05)'],['Actress\nmodel'],[],Never married,None,None,None
839,Maya Rudolph,['(1972-07-27)'],"['Actress, voice artist, comedian, singer']",[],Never married,None,None,None
840,Sophie Marceau,['(1966-11-17)'],"['Actress, author, director, screenwriter']",[],Never married,None,None,None
841,Olga Kurylenko,['(1979-11-14)'],['Actress'],"['Cedric van Mol(m.\xa02000; div.\xa02004)', 'Damian Gabrielle(m.\xa02006; div.\xa02007)']",Cedric van Mol(m. 2000; div. 2004),Damian Gabrielle(m. 2006; div. 2007),None,None
842,Franka Potente,['(1974-07-22)'],['Actress\nsinger[1]'],['Derek Richardson (m.\xa02012)'],Derek Richardson (m. 2012),None,None,None
843,Rashida Jones,['(1976-02-25)'],"['Actress, writer, producer']",[],Never married,None,None,None
844,Alicia Silverstone,['(1976-10-04)'],['Actress'],['Christopher Jarecki(m.\xa02005; div.\xa02018)'],Christopher Jarecki(m. 2005; div. 2018),None,None,None
845,Rosie Huntington-Whiteley,['(1987-04-18)'],['Model\nactress\nfashion designer\nbusinesswoman[2]'],[],Never married,None,None,None
846,Lillian Gish,"['(1893-10-14)', '(1993-02-27)']",['Actress'],[],Never married,None,None,None
847,Evangeline Lilly,['(1979-08-03)'],['Actressauthor'],['Murray Hone(m.\xa02003; div.\xa02004)'],Murray Hone(m. 2003; div. 2004),None,None,None
848,Mireille Enos,['(1975-09-22)'],['Actress'],['Alan Ruck (m.\xa02008)'],Alan Ruck (m. 2008),None,None,None
849,Jennifer Love Hewitt,['(1979-02-21)'],['Actresssinger'],['Brian Hallisay (m.\xa02013)'],Brian Hallisay (m. 2013),None,None,None
850,Emmy Rossum,['(1986-09-12)'],['Actress\ntelevision director\nsinger-songwriter'],"['Justin Siegel(m.\xa02008; div.\xa02010)', 'Sam Esmail (m.\xa02017)']",Justin Siegel(m. 2008; div. 2010),Sam Esmail (m. 2017),None,None
851,Joey King,['(1999-07-30)'],['Actress'],[],Never married,None,None,None
852,Ginnifer Goodwin,['(1978-05-22)'],"['Actress, voice actress']",['Josh Dallas (m.\xa02014)'],Josh Dallas (m. 2014),None,None,None
853,Christine Taylor,['(1971-07-30)'],['Actress'],['Ben Stiller(m.\xa02000; separated\xa02017)'],Ben Stiller(m. 2000; separated 2017),None,None,None
854,Vanessa Hudgens,['(1988-12-14)'],['Actress\nsinger'],[],Never married,None,None,None
855,Abbie Cornish,['(1982-08-07)'],"['Actress, rapper']",[],Never married,None,None,None
856,Michelle Yeoh,['(1962-08-06)'],['Actress'],['Dickson Poon(m.\xa01988; div.\xa01992)'],Dickson Poon(m. 1988; div. 1992),None,None,None
857,Ian Holm,['(1931-09-12)'],['Actor'],"['Lynn Mary Shaw(m.\xa01955; div.\xa01965)', 'Sophie Baker(m.\xa01982; div.\xa01986)', 'Penelope Wilton(m.\xa01991; div.\xa02001)', 'Sophie de Stempel (m.\xa02003)']",Lynn Mary Shaw(m. 1955; div. 1965),Sophie Baker(m. 1982; div. 1986),Penelope Wilton(m. 1991; div. 2001),Sophie de Stempel (m. 2003)
858,Nathan Lane,['(1956-02-03)'],"['Actor, writer']",['Devlin Elliott (m.\xa02015)'],Devlin Elliott (m. 2015),None,None,None
859,Cary Elwes,['(1962-10-26)'],"['Actor, writer']",['Lisa Marie Kurbikoff (m.\xa02000)'],Lisa Marie Kurbikoff (m. 2000),None,None,None
860,Steve Coogan,['(1965-10-14)'],['Actorcomedianscreenwriterproducer'],['Caroline Hickman(m.\xa02002; div.\xa02005)'],Caroline Hickman(m. 2002; div. 2005),None,None,None
861,Jeffrey Wright,['(1965-12-07)'],['Actor'],['Carmen Ejogo(m.\xa02000; div.\xa02014)'],Carmen Ejogo(m. 2000; div. 2014),None,None,None
862,Aaron Eckhart,['(1968-03-12)'],['Actor'],[],Never married,None,None,None
863,Sam Worthington,['(1976-08-02)'],"['Actor, writer']",[],Never married,None,None,None
864,Jack Davenport,['(1973-03-01)'],['Actor'],['Michelle Gomez (m.\xa02000)'],Michelle Gomez (m. 2000),None,None,None
865,Alfred Molina,['(1953-05-24)'],"['Actor, voice artist']",['Jill Gascoine (m.\xa01986)'],Jill Gascoine (m. 1986),None,None,None
866,Justin Bartha,['(1978-07-21)'],['Actor'],['Lia Smith (m.\xa02014)'],Lia Smith (m. 2014),None,None,None
867,Mark Hamill,['(1951-09-25)'],['Actor\nvoice actor\nwriter'],['Marilou York (m.\xa01978)'],Marilou York (m. 1978),None,None,None
868,Brendan Fraser,['(1968-12-03)'],['Actor'],['Afton Smith(m.\xa01998; div.\xa02007)'],Afton Smith(m. 1998; div. 2007),None,None,None
869,Ice Cube,['(1969-06-15)'],['ActorRapperWriter'],['Kimberly Woodruff (m.\xa01992)'],Kimberly Woodruff (m. 1992),None,None,None
870,Liev Schreiber,['(1967-10-04)'],"['Actor, director, screenwriter, producer']",[],Never married,None,None,None
871,Ed Helms,['(1974-01-24)'],"['Actor, comedian, singer']",[],Never married,None,None,None
872,Val Kilmer,['(1959-12-31)'],"['Actor, musician, artist']",['Joanne Whalley(m.\xa01988; div.\xa01996)'],Joanne Whalley(m. 1988; div. 1996),None,None,None
873,Russell Brand,['(1975-06-04)'],[],"['Katy Perry(m.\xa02010; div.\xa02012)', 'Laura Gallacher (m.\xa02017)']",Katy Perry(m. 2010; div. 2012),Laura Gallacher (m. 2017),None,None
874,Craig T. Nelson,['(1944-04-04)'],['Actor'],"['Robin McCarthy(m.\xa01965; div.\xa01978)', 'Doria Cook-Nelson (m.\xa01987)']",Robin McCarthy(m. 1965; div. 1978),Doria Cook-Nelson (m. 1987),None,None
875,Patrick Stewart,['(1940-07-13)'],['Actorvoice actor'],"['Sheila Falconer(m.\xa01966; div.\xa01990)', 'Wendy Neuss(m.\xa02000; div.\xa02003)', 'Sunny Ozell (m.\xa02013)']",Sheila Falconer(m. 1966; div. 1990),Wendy Neuss(m. 2000; div. 2003),Sunny Ozell (m. 2013),None
876,Seth Green,['(1974-02-08)'],"['Actor, voice artist, producer, writer, director']",['Clare Grant (m.\xa02010)'],Clare Grant (m. 2010),None,None,None
877,Ashton Kutcher,['(1978-02-07)'],"['Actor, producer, entrepreneur']","['Demi Moore(m.\xa02005; div.\xa02013)', 'Mila Kunis (m.\xa02015)']",Demi Moore(m. 2005; div. 2013),Mila Kunis (m. 2015),None,None
878,Randy Quaid,['(1950-10-01)'],['Actor'],[],Never married,None,None,None
879,Wesley Snipes,['(1962-07-31)'],"['Actor, film producer, martial artist, author']","['April Dubois (m.\xa01985–1990)', 'Nakyung ""Nikki"" Park (m.\xa02003)']",April Dubois (m. 1985–1990),"Nakyung ""Nikki"" Park (m. 2003)",None,None
880,David Oyelowo,['(1976-04-01)'],"['Actor, producer']",['Jessica Watson (m.\xa01998)'],Jessica Watson (m. 1998),None,None,None
881,Mark Strong,['(1963-08-05)'],[],[],Never married,None,None,None
882,Rob Schneider,['(1963-10-31)'],['Actorcomediandirectorscreenwriter'],"['London King(m.\xa01988; div.\xa01990)', 'Helena Schneider(m.\xa02002; div.\xa02005)', 'Patricia Azarcoya Arce (m.\xa02011)']",London King(m. 1988; div. 1990),Helena Schneider(m. 2002; div. 2005),Patricia Azarcoya Arce (m. 2011),None
883,Jay Baruchel,['(1982-04-09)'],"['Actor, screenwriter']",[],Never married,None,None,None
884,Hayden Christensen,['(1981-04-19)'],"['Actor, film producer']",[],Never married,None,None,None
885,Ray Stevenson,['(1964-05-25)'],['Actor'],['Ruth Gemmell(m.\xa01997; div.\xa02005)'],Ruth Gemmell(m. 1997; div. 2005),None,None,None
886,Paul Bettany,['(1971-05-27)'],['Actor'],['Jennifer Connelly (m.\xa02003)'],Jennifer Connelly (m. 2003),None,None,None
887,Hugh Laurie,['(1959-06-11)'],"['Actor, director, musician, comedian, author']",['Jo Green (m.\xa01989)'],Jo Green (m. 1989),None,None,None
888,Nick Swardson,['(1976-10-09)'],"['Stand-up comedian, actor, screenwriter, producer']",[],Never married,None,None,None
889,Josh Lucas,['(1971-06-20)'],['Actor'],['Jessica Henriquez(m.\xa02012; div.\xa02014)'],Jessica Henriquez(m. 2012; div. 2014),None,None,None
890,Chris O'Donnell,['(1970-06-26)'],['Actor'],['Caroline Fentress (m.\xa01997)'],Caroline Fentress (m. 1997),None,None,None
891,Benjamin Bratt,['(1963-12-16)'],['Actor'],['Talisa Soto (m.\xa02002)'],Talisa Soto (m. 2002),None,None,None
892,Johnny Knoxville,['(1971-03-11)'],"['Actor, film producer, screenwriter, comedian, stunt performer']","['Melanie Cates(m.\xa01995; div.\xa02008)', 'Naomi Nelson (m.\xa02010)']",Melanie Cates(m. 1995; div. 2008),Naomi Nelson (m. 2010),None,None
893,Marlon Wayans,['(1972-07-23)'],['Actorcomedianfilm producerscreenwriter'],['Angelica Zackary(m.\xa02005; div.\xa02013)'],Angelica Zackary(m. 2005; div. 2013),None,None,None
894,Jai Courtney,['(1986-03-15)'],['Actor'],[],Never married,None,None,None
895,Albert Brooks,['(1947-07-22)'],"['Actor, Comedian, Writer, Director']",['Kimberly Shlain Brooks (m.\xa01997)'],Kimberly Shlain Brooks (m. 1997),None,None,None
896,Macaulay Culkin,['(1980-08-26)'],['Actor\nmusician'],['Rachel Miner(m.\xa01998; div.\xa02002)'],Rachel Miner(m. 1998; div. 2002),None,None,None
897,Sam Elliott,['(1944-08-09)'],['Actor'],['Katharine Ross (m.\xa01984)'],Katharine Ross (m. 1984),None,None,None
898,Jim Caviezel,['(1968-09-26)'],['Actor'],['Kerri Browitt (m.\xa01996)'],Kerri Browitt (m. 1996),None,None,None
899,Paul Scofield,"['(1922-01-21)', '(2008-03-19)']",['Actor'],[],Never married,None,None,None
900,Jared Harris,['(1961-08-24)'],['Actor'],"['Jacqueline Goldenberg(m.\xa01989; div.\xa01990)', 'Emilia Fox(m.\xa02005; div.\xa02010)', 'Allegra Riggio (m.\xa02013)']",Jacqueline Goldenberg(m. 1989; div. 1990),Emilia Fox(m. 2005; div. 2010),Allegra Riggio (m. 2013),None
901,Harpo Marx,"['(1888-11-23)', '(1964-09-28)']","['Actor, mime, musician']",['Susan Fleming (m.\xa01936)'],Susan Fleming (m. 1936),None,None,None
902,Jason Sudeikis,['(1975-09-18)'],"['Comedian, actor, screenwriter, producer']",['Kay Cannon(m.\xa02004; div.\xa02010)'],Kay Cannon(m. 2004; div. 2010),None,None,None
903,Josh Hartnett,['(1978-07-21)'],"['Actor, producer']",[],Never married,None,None,None
904,Cillian Murphy,['(1976-05-25)'],['Actor'],['Yvonne McGuinness (m.\xa02004)'],Yvonne McGuinness (m. 2004),None,None,None
905,Billy Crudup,['(1968-07-08)'],['Actor'],[],Never married,None,None,None
906,Christopher Mintz-Plasse,['(1989-06-20)'],"['Actor, comedian, musician']",[],Never married,None,None,None
907,Anthony Mackie,['(1978-09-23)'],['Actor'],['Sheletta Chapital (m.\xa02014)'],Sheletta Chapital (m. 2014),None,None,None
908,Timothy Olyphant,['(1968-05-20)'],"['Actor, producer']",['Alexis Knief (m.\xa01991)'],Alexis Knief (m. 1991),None,None,None
909,Josh Gad,['(1981-02-23)'],"['Actor, comedian, singer']",['Ida Darvish (m.\xa02008)'],Ida Darvish (m. 2008),None,None,None
910,Luke Wilson,['(1971-09-21)'],['Actor'],[],Never married,None,None,None
911,Peter Sarsgaard,['(1971-03-07)'],['Actor'],['Maggie Gyllenhaal (m.\xa02009)'],Maggie Gyllenhaal (m. 2009),None,None,None
912,Rhys Ifans,['(1967-07-22)'],['Actor'],[],Never married,None,None,None
913,Topher Grace,['(1978-07-12)'],['Actor'],['Ashley Hinshaw (m.\xa02016)'],Ashley Hinshaw (m. 2016),None,None,None
914,Paul Dano,['(1984-06-19)'],['Actordirectorscreenwriterproducersingermusician'],[],Never married,None,None,None
